SITE_XN_ROUTE,LOC_LEG,STRT_LAT,STRT_LONG,GPS,BEARING_DESC,RGN_SHORT_NM,Comments
6600,59465,-37.89091,145.12301,[-37.8910519 +145.123081],WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
7584,59445,-37.79171,145.10505,[-37.7918262 +145.105324],NORTH WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
7584,59468,-37.79172,145.10507,[-37.7918262 +145.105324],SOUTH EAST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
7588,59450,-37.77996,144.96262,[-37.779953 +144.962511],EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
7588,59451,-37.77996,144.96258,[-37.779953 +144.962511],WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
7592,59483,-37.79391,145.03325,[-37.793676 +145.033458],NORTH WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
7592,59484,-37.79389,145.03323,[-37.793676 +145.033458],SOUTH EAST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
7596,59489,-37.80676,144.90464,[-37.806420 +144.905099],NORTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
7596,59490,-37.80677,144.90463,[-37.806420 +144.905099],SOUTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
7600,59471,-37.79975,144.98051,[-37.799708 +144.980594],NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
7600,59472,-37.79981,144.9805,[-37.799708 +144.980594],SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
7604,59466,-37.78822,145.0281,[-37.787934 +145.027142],NORTH WEST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
